Sample ID,Latitude,Longitude,mtDNA Ance,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,mtDNA
S19-5730,38.5553,-121.6728,nonnative,2.913262295,SacramentoValley,631.78,421.85,0.672327808,0
S19-5733,38.5552,-121.6728,native SVRF,2.914764567,SacramentoValley,631.78,421.85,0.672330185,1
S09-0367,38.4165,-121.8174,native SVRF,3.413403653,SacramentoValley,631.78,421.85,0.673119446,1
S07-0169,38.1219,-121.8356,native SVRF,3.602157465,SacramentoValley,631.78,421.85,0.673418211,1
S09-0282,38.4191,-121.8163,native SVRF,3.715154169,SacramentoValley,631.78,421.85,0.673597066,1
S12-0285,38.1314,-121.8679,nonnative,4.108124766,SacramentoValley,631.78,421.85,0.674219071,0
S12-0286,38.1314,-121.8679,nonnative,4.108124766,SacramentoValley,631.78,421.85,0.674219071,0
S10-0509,38.5387,-121.6945,native SVRF,4.206894904,SacramentoValley,631.78,421.85,0.674375407,1
S13-1971,38.539,-121.6945,native SVRF,4.227675429,SacramentoValley,631.78,421.85,0.674408299,1
S15-0812,38.5432,-121.6948,nonnative,4.553355582,SacramentoValley,631.78,421.85,0.674923796,0
S16-1409,38.5433,-121.695,nonnative,4.573669422,SacramentoValley,631.78,421.85,0.674955949,0
S13-0915,38.5434,-121.6957,native SVRF,4.625930581,SacramentoValley,631.78,421.85,0.675038669,1
S08-0534,38.5431,-121.6961,native SVRF,4.629231737,SacramentoValley,631.78,421.85,0.675043895,1
S09-0512,38.5431,-121.6962,native SVRF,4.635704444,SacramentoValley,631.78,421.85,0.67505414,1
s09-0279,38.1333,-121.8376,native SVRF,4.670625117,SacramentoValley,631.78,421.85,0.675109413,1
S09-0042,38.5431,-121.6972,native SVRF,4.700830944,SacramentoValley,631.78,421.85,0.675157224,1
S18-1286,38.5431,-121.6975,native SVRF,4.720507776,SacramentoValley,631.78,421.85,0.675188369,1
S18-1290,38.5431,-121.6975,native SVRF,4.720507776,SacramentoValley,631.78,421.85,0.675188369,1
S16-1356,38.5431,-121.6976,nonnative,4.727080689,SacramentoValley,631.78,421.85,0.675198773,0
S15-0828,38.543,-121.698,nonnative,4.746201876,SacramentoValley,631.78,421.85,0.675229038,0
