	LocIDs	dists	means	vars	counts
15	1	0.05	0.0549	0.002255723	36018
11	2	0.1	0.059	0.002425068	41197
13	3	0.15	0.0677	0.002858913	41024
12	4	0.2	0.0794	0.003487145	40978
9	5	0.25	0.0955	0.004484134	39835
10	6	0.3	0.1154	0.005281935	39527
3	7	0.35	0.1388	0.006446345	40006
1	8	0.4	0.1703	0.008108128	39627
5	9	0.45	0.2075	0.009666915	39403
4	10	0.5	0.2494	0.011458112	39672
2	11	0.55	0.3013	0.012947488	39280
6	12	0.6	0.3563	0.013950693	40255
7	13	0.65	0.4155	0.014295575	40907
8	14	0.7	0.4779	0.015026954	40020
16	15	0.75	0.5414	0.01442258	40355
17	16	0.8	0.6	0.013390234	40264
18	17	0.85	0.6509	0.012026158	39765
14	18	0.9	0.6929	0.010308617	40062
19	19	0.95	0.7244	0.008827992	39772
20	20	1	0.7423	0.00784031	34536
