	LocIDs	dists	means	vars	counts
15	1	0.05	0.0021	0.002055079	34964
14	2	0.1	0.0036	0.003580325	39798
2	3	0.15	0.0041	0.004128461	40043
1	4	0.2	0.0064	0.006322983	39602
3	5	0.25	0.0085	0.008446774	39558
17	6	0.3	0.0134	0.013202951	39980
16	7	0.35	0.0210	0.020523512	40024
4	8	0.4	0.0316	0.030617841	39884
9	9	0.45	0.0494	0.046926657	40132
8	10	0.5	0.0845	0.077347579	40517
7	11	0.55	0.1367	0.117989723	39835
6	12	0.6	0.2262	0.175020596	39674
11	13	0.65	0.3603	0.230501627	40023
5	14	0.7	0.5300	0.249104866	39719
10	15	0.75	0.6804	0.217476864	39322
12	16	0.8	0.8038	0.157733505	40048
13	17	0.85	0.8797	0.105810074	39851
19	18	0.9	0.9251	0.069268001	40469
20	19	0.95	0.9505	0.047007910	40989
18	20	1	0.9647	0.034018841	35790
